NAME_LATIN,spito_count
D. AGIAS BARBARAS,73
D. AGIAS PARASKEYHS,434
D. AGIASOY,7
D. AGIOY DHMHTRIOY,466
D. AGIOY IVANNOY RENTH,196
D. AGIOY KHRYKOY,133
D. AGIOY PAYLOY,35
D. AGIVN ANARGYRVN,237
D. AGRINIOY_1,333
D. AIGALEV,476
D. AIGINHS_13,476
D. AIGINIOY_1,6
D. AIGIOY,434
D. AITVLIKOY_2,3
D. AJIOYPOLEVS,32
D. AKRATAS,129
D. ALEJANDREIAS,40
D. ALEJANDROYPOLEVS,1424
D. ALIARTOY,4
D. ALIMOY,1117
D. ALMYROY,52
D. AMALIADOS,101
D. AMAROYSIOY,708
D. AMFILOXIAS_2,10
D. AMFISSHS,10
D. AMPELOKHPVN,239
D. AMPELVNOS,6
D. ANDRABIDAS,4
D. ANDROY,507
D. ANDROYSHS,6
D. ANTIRRIOY,17
D. ANV LIOSIVN,201
D. ARAXOBHS,246
D. ARGOYS,435
D. ARGOYS ORESTIKOY,7
D. ARGYROYPOLEVS,264
D. ARIDAIAS,51
D. ARNAIAS,15
D. ARTAIVN,79
D. ARXANVN,63
D. ASPROPYRGOY,163
D. ASTYPALAIAS (NHSOS)_1,16
D. ATALANTHS_1,21
D. AUHNAIVN,8254
D. AXARNVN,1287
D. AYLVNOS,45
D. BARHS_1,1795
D. BARUOLOMIOY,17
D. BELBENTOY,4
D. BELESTINOY,29
D. BEROIAS,684
D. BILIVN,60
D. BOLOY,1914
D. BONITSHS_2,16
D. BOYLAS_1,2801
D. BOYLIAGMENHS_1,339
D. BRILHSSIVN,301
D. BYRVNOS,256
D. CAXNVN_1,237
D. CYXIKOY,223
D. DAFNHS_1,220
D. DIDYMOTEIXOY,10
D. DISTOMOY,1
D. DRAMAS_2,155
D. DRAPETSVNAS,164
D. EDESSHS,174
D. EIRHNOYPOLHS,12
D. ELASSONOS_1,3
D. ELATEIAS,2
D. ELEYSINOS,96
D. ELEYUERIOY-KORDELIOY (ELEYUERIOY),148
D. ELEYUEROYPOLEVS,101
D. ELLHNIKOY,672
D. EPISKOPHS,7
D. ERETRIAS_1,92
D. ERMOYPOLEVS_1,713
D. EYOSMOY,619
D. FARKADONOS,4
D. FARSALVN,6
D. FERVN_1,17
D. FILIATRVN,31
D. FILIATVN,10
D. FILOUEHS,226
D. FLVRINHS,9
D. FYLHS,12
D. GALAJIDIOY_1,45
D. GALATSIOY,625
D. GARGALIANVN,136
D. GASTOYNHS,9
D. GERAKA,1156
D. GIANNITSVN,184
D. GLYFADAS,3630
D. GOYBVN,326
D. GOYMENISSAS,43
D. GREBENVN,17
D. GYUEIOY,65
D. HGOYMENITSHS_1,90
D. HLIOYPOLEVS,523
D. HRAKLEIAS,31
D. HRAKLEIOY_1,323
D. HRAKLEIOY_2,1470
D. IERAPETRAS_1,59
D. IERISSOY_1,346
D. ISTIAIAS,28
D. ITEAS_1,41
D. IUAKHS_20,236
D. IVANNITVN,564
D. IVLKOY,75
D. JANUHS,335
D. JYLOKASTROY,290
D. KABALAS,1934
D. KAISARIANHS,90
D. KALABRYTVN,88
D. KALAMARIAS,1846
D. KALAMATAS,866
D. KALLIUEAS,1067
D. KALYMNIVN (EPI THS OMVNYMOY NHSOY)_2,32
D. KAMATEROY,175
D. KAMENVN BOYRLVN,128
D. KANDANOY,1
D. KARDITSHS,115
D. KARLOBASIVN,262
D. KARPAUOY (EPI THS OMVNYMOY NHSOY)_1,17
D. KARPENHSIOY,51
D. KARYSTOY_1,116
D. KASOY (NHSOS)_7,7
D. KASSANDREIAS,1697
D. KASTORIAS,23
D. KATERINHS_2,434
D. KATV AXAIAS,95
D. KATV NEYROKOPIOY,3
D. KERATEAS_1,316
D. KERATSINIOY,744
D. KERKYRAIVN_1,2441
D. KHFISIAS,2385
D. KILKIS,173
D. KISSAMOY,124
D. KOMOTHNHS,330
D. KONITSHS,4
D. KORINUOY,700
D. KORYDALLOY,452
D. KOYFALIVN,43
D. KOZANHS,133
D. KRANIDIOY_1,341
D. KRESTENVN,5
D. KRVPIAS_1,642
D. KRYAS BRYSHS,10
D. KYMHS_1,30
D. KYPARISSIAS,144
D. LAGKADA,306
D. LAGKADIVN,1
D. LAMIEVN,528
D. LARISHS,335
D. LAYREVTIKHS_1,327
D. LAYREVTIKHS_2,67
D. LEBADEVN,21
D. LEBIDIOY,29
D. LEICVN (NHSOS)_6,8
D. LEROY (NHSOS)_14,32
D. LEXAINVN,15
D. LEYKADOS_1,440
D. LIMNHS,42
D. LITOXVROY,135
D. LOYTRAKIOY PERAXVRAS_5,1183
D. LOYTROPOLEVS MEUANVN,19
D. LOYTRVN AIDHCOY,83
D. MALIVN,48
D. MANDRAKIOY (NHSOS NISYROS)_2,3
D. MANDRAS,84
D. MARAUVNOS_1,507
D. MARKOPOYLOY MESOGAIAS_1,1093
D. MEGALOPOLEVS,18
D. MEGANHSIOY_4,76
D. MEGAREVN_1,205
D. MEGISTHS (NHSOS)_1,13
D. MELIGALA,8
D. MELISSIVN,230
D. MENEMENHS,100
D. METAMORFVSEVS,590
D. METSOBOY,14
D. MHLOY_4,131
D. MHUYMNHS,33
D. MIDEAS,58
D. MOIRVN,40
D. MOLAVN,11
D. MOSXATOY,529
D. MYKONIVN (NHSOS MYKONOS)_1,2073
D. MYRINAIVN_1,21
D. MYTILHNHS,580
D. NAOYSHS,411
D. NAYPAKTOY,54
D. NAYPLIEVN_1,1158
D. NEAPOLEVS_3,229
D. NEAPOLHS,16
D. NEAS ALIKARNASSOY,74
D. NEAS ARTAKHS,74
D. NEAS ERYURAIAS,648
D. NEAS FILADELFEIAS,240
D. NEAS IVNIAS_1,782
D. NEAS IVNIAS_2,395
D. NEAS KYDVNIAS,164
D. NEAS MAKRHS,599
D. NEAS SMYRNHS,610
D. NEAS XALKHDONOS,104
D. NEAS ZIXNHS,2
D. NEOY CYXIKOY,171
D. NEVN LIOSIVN,511
D. NIGRITHS,9
D. NIKAIAS,904
D. OINOYSSVN (EPI THS OMVNYMOY NHSOY)_1,3
D. ORESTIADOS,30
D. ORXOMENOY,6
D. PAIANIAS,529
D. PALAIOY FALHROY,1008
D. PALAMA,2
D. PALLHNHS,800
D. PAPAGOY,242
D. PARABOLAS,6
D. PARAMYUIAS,28
D. PARAPOTAMOY_1,1
D. PARGAS,78
D. PAROY_1,1963
D. PATMOY (NHSOS)_5,57
D. PATREVN,4239
D. PEIRAIVS_1,2105
D. PERAMATOS_1,261
D. PERISTERIOY,1333
