NAME_LATIN,Area_sqm,Bedrooms,Bathrooms,Rooms,Levels,PriceEuro,PricePerM2,oiki_densi,pop_densi,age,near_coast,near_beach,near_city,longitude,latitude,geohash_lat,geohash_lng,property_business,property_land,property_other,property_residential
D. ALEJANDROYPOLEVS,2100,0,0,0,0,100000,48.0,0.01989,28027.5,59,0,0,0,25.86983,40.88899,40.9,25.9,0,1,0,0
D. ALEJANDROYPOLEVS,2140,0,0,0,0,70000,33.0,0.01989,28027.5,59,0,0,0,25.86983,40.88899,40.9,25.9,0,1,0,0
D. ALEJANDROYPOLEVS,2300,0,0,0,0,70000,30.0,0.01989,28027.5,61,0,0,0,25.86983,40.88899,40.9,25.9,0,1,0,0
D. ALEJANDROYPOLEVS,2500,0,0,0,0,50000,20.0,0.01989,28027.5,61,0,0,0,25.86983,40.88899,40.9,25.9,0,1,0,0
D. ALEJANDROYPOLEVS,2600,0,0,0,0,45000,17.0,0.01989,28027.5,61,0,0,0,25.86983,40.88899,40.9,25.9,0,1,0,0
D. ALEJANDROYPOLEVS,2500,0,0,0,0,50000,20.0,0.01989,28027.5,61,0,0,0,25.86983,40.88899,40.9,25.9,0,1,0,0
D. ALEJANDROYPOLEVS,2500,0,0,0,0,25000,10.0,0.01989,28027.5,61,0,0,0,25.86983,40.88899,40.9,25.9,0,1,0,0
D. ALEJANDROYPOLEVS,2380,0,0,0,0,120000,50.0,0.01989,28027.5,61,0,0,0,25.86983,40.88899,40.9,25.9,0,1,0,0
D. ALEJANDROYPOLEVS,2400,0,0,0,0,130000,54.0,0.01989,28027.5,59,0,0,0,25.86983,40.88899,40.9,25.9,0,1,0,0
D. ALEJANDROYPOLEVS,2500,0,0,0,0,40000,16.0,0.01989,28027.5,61,0,0,0,25.86983,40.88899,40.9,25.9,0,1,0,0
D. ALEJANDROYPOLEVS,2500,0,0,0,0,30000,12.0,0.01989,28027.5,61,0,0,0,25.86983,40.88899,40.9,25.9,0,1,0,0
D. ALEJANDROYPOLEVS,2100,0,0,0,0,200000,95.0,0.01989,28027.5,61,0,0,0,25.86983,40.88899,40.9,25.9,0,1,0,0
D. ALEJANDROYPOLEVS,2400,0,0,0,0,130000,54.0,0.01989,28027.5,60,0,0,0,25.86983,40.88899,40.9,25.9,0,1,0,0
D. ALEJANDROYPOLEVS,2234,0,0,0,0,130000,58.0,0.01989,28027.5,61,0,0,0,25.86983,40.88899,40.9,25.9,0,1,0,0
D. ALEJANDROYPOLEVS,2500,0,0,0,0,15000,6.0,0.01989,28027.5,61,0,0,0,25.86983,40.88899,40.9,25.9,0,1,0,0
D. ALEJANDROYPOLEVS,2500,0,0,0,0,22000,9.0,0.01989,28027.5,61,0,0,0,25.86983,40.88899,40.9,25.9,0,1,0,0
D. ALEJANDROYPOLEVS,2500,0,0,0,0,55000,22.0,0.01989,28027.5,61,0,0,0,25.86983,40.88899,40.9,25.9,0,1,0,0
D. ALEJANDROYPOLEVS,2600,0,0,0,0,13000,5.0,0.01989,28027.5,61,0,0,0,25.86983,40.88899,40.9,25.9,0,1,0,0
D. LAMIEVN,2163,0,0,0,0,80000,37.0,0.01794,58601.0,61,0,1,0,22.427329999999998,38.91158,38.9,22.4,0,1,0,0
D. LAMIEVN,2034,0,0,0,0,6000,3.0,0.01794,58601.0,61,0,1,0,22.427329999999998,38.91158,38.9,22.4,0,1,0,0
D. LAMIEVN,2220,0,0,0,0,32000,14.0,0.01794,58601.0,61,0,1,0,22.427329999999998,38.91158,38.9,22.4,0,1,0,0
D. LAMIEVN,2191,0,0,0,0,100000,46.0,0.01794,58601.0,61,0,1,0,22.427329999999998,38.91158,38.9,22.4,0,1,0,0
D. XAIDARIOY,2170,0,0,0,0,595000,274.0,0.08657000000000001,57891.5,61,0,0,0,23.63084,38.00942,38.0,23.6,0,1,0,0
D. XAIDARIOY,2292,0,0,0,0,800000,349.0,0.08657000000000001,57891.5,61,0,0,0,23.63084,38.00942,38.0,23.6,0,1,0,0
D. XAIDARIOY,2300,0,0,0,0,800000,348.0,0.08657000000000001,57891.5,61,0,0,0,23.63084,38.00942,38.0,23.6,0,1,0,0
D. KRVPIAS_1,2456,0,0,0,0,15000,6.0,0.04545,25532.0,60,0,0,0,23.85602,37.88165,37.9,23.8,0,1,0,0
D. KRVPIAS_1,2085,0,0,0,0,200000,96.0,0.04545,25532.0,60,0,0,0,23.85602,37.88165,37.9,23.8,0,1,0,0
D. KRVPIAS_1,2500,0,0,0,0,420000,168.0,0.04545,25532.0,61,0,0,0,23.85602,37.88165,37.9,23.8,0,1,0,0
D. KORINUOY,2100,0,0,0,0,285000,136.0,0.05776,26537.5,59,0,0,0,22.93719,37.928740000000005,37.9,22.9,0,1,0,0
D. KORINUOY,2500,0,0,0,0,49000,20.0,0.05776,26537.5,61,0,0,0,22.93719,37.928740000000005,37.9,22.9,0,1,0,0
D. KORINUOY,2491,0,0,0,0,170000,68.0,0.05776,26537.5,58,0,0,0,22.93719,37.928740000000005,37.9,22.9,0,1,0,0
D. KORINUOY,2060,0,0,0,0,11000,5.0,0.05776,26537.5,59,0,0,0,22.93719,37.928740000000005,37.9,22.9,0,1,0,0
D. KORINUOY,2312,0,0,0,0,300000,130.0,0.05776,26537.5,61,0,0,0,22.93719,37.928740000000005,37.9,22.9,0,1,0,0
D. KORINUOY,2065,0,0,0,0,400000,194.0,0.05776,26537.5,61,0,0,0,22.93719,37.928740000000005,37.9,22.9,0,1,0,0
D. KORINUOY,2491,0,0,0,0,170000,68.0,0.05776,26537.5,58,0,0,0,22.93719,37.928740000000005,37.9,22.9,0,1,0,0
D. KORINUOY,2500,0,0,0,0,100000,40.0,0.05776,26537.5,59,0,0,0,22.93719,37.928740000000005,37.9,22.9,0,1,0,0
D. PERAMATOS_1,2300,0,0,0,0,750000,326.0,0.06781000000000001,50911.0,61,0,0,0,23.582810000000002,37.97571,38.0,23.6,0,1,0,0
D. MYTILHNHS,2500,0,0,0,0,110000,44.0,0.24595,36196.0,59,0,0,0,26.55465,39.095,39.1,26.6,0,1,0,0
D. MYTILHNHS,2600,0,0,0,0,35000,13.0,0.24595,36196.0,61,0,0,0,26.55465,39.095,39.1,26.6,0,1,0,0
D. MYTILHNHS,2500,0,0,0,0,130000,52.0,0.24595,36196.0,59,0,0,0,26.55465,39.095,39.1,26.6,0,1,0,0
D. MYTILHNHS,2500,0,0,0,0,24000,10.0,0.24595,36196.0,59,0,0,0,26.55465,39.095,39.1,26.6,0,1,0,0
D. MYTILHNHS,2300,0,0,0,0,110000,48.0,0.24595,36196.0,60,0,0,0,26.55465,39.095,39.1,26.6,0,1,0,0
D. MYTILHNHS,2500,0,0,0,0,65000,26.0,0.24595,36196.0,60,0,0,0,26.55465,39.095,39.1,26.6,0,1,0,0
K. ABIAS,2238,0,0,0,0,45000,20.0,0.4119600000000001,30354.5,58,0,0,0,22.15944,36.959759999999996,37.0,22.2,0,1,0,0
K. ABIAS,2340,0,0,0,0,85000,36.0,0.4119600000000001,30354.5,61,0,0,0,22.15944,36.959759999999996,37.0,22.2,0,1,0,0
K. ABIAS,2604,0,0,0,0,130000,50.0,0.4119600000000001,30354.5,61,0,0,0,22.15944,36.959759999999996,37.0,22.2,0,1,0,0
D. ANV LIOSIVN,2600,0,0,0,0,450000,173.0,0.026269999999999998,27082.0,61,0,0,0,23.68916,38.094,38.1,23.7,0,1,0,0
K. DIOMHDEIAS,2500,0,0,0,0,12000,5.0,0.26777,31208.5,61,0,0,0,24.91369,41.092209999999994,41.1,24.9,0,1,0,0
D. METAMORFVSEVS,2400,0,0,0,0,250000,104.0,0.18342,43929.0,61,0,0,0,23.76275,38.065740000000005,38.1,23.8,0,1,0,0
D. METAMORFVSEVS,2287,0,0,0,0,190000,83.0,0.18342,43929.0,61,0,0,0,23.76275,38.065740000000005,38.1,23.8,0,1,0,0
D. METAMORFVSEVS,2300,0,0,0,0,190000,83.0,0.18342,43929.0,61,0,0,0,23.76275,38.065740000000005,38.1,23.8,0,1,0,0
D. NEAS ALIKARNASSOY,2500,0,0,0,0,80000,32.0,0.26488,75126.5,60,0,0,0,25.173460000000002,35.33481,35.4,25.2,0,1,0,0
D. NEAS ALIKARNASSOY,2500,0,0,0,0,45000,18.0,0.26488,75126.5,61,0,0,0,25.173460000000002,35.33481,35.4,25.2,0,1,0,0
K. SARABALIOY,2300,0,0,0,0,105000,46.0,0.95505,87659.5,61,0,0,0,21.75154,38.19628,38.2,21.7,0,1,0,0
K. SARABALIOY,2100,0,0,0,0,65000,31.0,0.95505,87659.5,60,0,0,0,21.75154,38.19628,38.2,21.7,0,1,0,0
K. SARABALIOY,2150,0,0,0,0,70000,33.0,0.95505,87659.5,61,0,0,0,21.75154,38.19628,38.2,21.7,0,1,0,0
K. SARABALIOY,2300,0,0,0,0,115000,50.0,0.95505,87659.5,61,0,0,0,21.75154,38.19628,38.2,21.7,0,1,0,0
K. SARABALIOY,2400,0,0,0,0,110000,46.0,0.95505,87659.5,61,0,0,0,21.75154,38.19628,38.2,21.7,0,1,0,0
D. AMAROYSIOY,2300,0,0,0,0,600000,261.0,0.07687999999999999,43929.0,58,0,0,0,23.80575,38.046690000000005,38.0,23.8,0,1,0,0
K. PATRIDOS,2600,0,0,0,0,35000,13.0,0.2384,26282.5,61,1,1,0,22.189870000000003,40.564209999999996,40.6,22.2,0,1,0,0
K. PATRIDOS,2186,0,0,0,0,25000,11.0,0.2384,26282.5,59,1,1,0,22.189870000000003,40.564209999999996,40.6,22.2,0,1,0,0
K. PATRIDOS,2608,0,0,0,0,35000,13.0,0.2384,26282.5,61,1,1,0,22.189870000000003,40.564209999999996,40.6,22.2,0,1,0,0
D. SYKEVN_1,2500,0,0,0,0,600000,240.0,0.16584000000000002,24506.0,61,0,0,0,22.98976,40.65746,40.7,23.0,0,1,0,0
D. SYKEVN_1,2500,0,0,0,0,650000,260.0,0.16584000000000002,24506.0,61,0,0,0,22.98976,40.65746,40.7,23.0,0,1,0,0
D. SYKEVN_1,2171,0,0,0,0,700000,322.0,0.16584000000000002,24506.0,61,0,0,0,22.98976,40.65746,40.7,23.0,0,1,0,0
D. SYKEVN_1,2300,0,0,0,0,320000,139.0,0.16584000000000002,24506.0,58,0,0,0,22.98976,40.65746,40.7,23.0,0,1,0,0
K. ASVMATVN,2500,0,0,0,0,12000,5.0,0.03134,29672.0,61,0,1,0,25.3547,41.189409999999995,41.2,25.3,0,1,0,0
K. ANUEIAS_2,2250,0,0,0,0,15000,7.0,0.08322,28027.5,60,0,0,0,25.9962,40.84825,40.8,26.0,0,1,0,0
D. PAROY_1,432,0,0,0,0,280000,648.0,0.30435,12853.0,0,0,0,1,25.15257,37.072590000000005,37.1,25.2,0,0,0,1
D. PAROY_1,335,0,0,0,0,400000,1194.0,0.30435,12853.0,0,0,0,1,25.15257,37.072590000000005,37.1,25.2,0,0,0,1
D. PAROY_1,128,0,0,0,0,100000,781.0,0.30435,12853.0,0,0,0,1,25.15257,37.072590000000005,37.1,25.2,0,0,0,1
K. BRAXATIOY,283,0,0,0,0,119900,424.0,0.33216,9981.0,-1,0,0,0,22.80714,37.95619,37.9,22.8,0,0,0,1
D. PATREVN,350,0,0,0,0,330000,943.0,0.06892999999999999,11873.0,0,0,0,0,21.77354,38.24325,38.3,21.8,0,0,0,1
D. PATREVN,146,0,0,0,0,130000,890.0,0.06892999999999999,11873.0,-1,0,0,0,21.77354,38.24325,38.3,21.8,0,0,0,1
K. NIKHTHS (NIKHTA)_1,700,0,0,0,0,310000,443.0,0.02822,6818.0,0,0,0,1,23.70375,40.20193,40.2,23.7,0,0,0,1
K. GAZIOY,180,0,0,0,0,250000,1389.0,0.37433,13581.0,-1,0,0,0,25.059479999999997,35.32217,35.3,25.1,0,0,0,1
D. KERKYRAIVN_1,320,0,0,0,0,240000,750.0,0.18902,6842.5,0,0,0,0,19.84954,39.637409999999996,39.6,19.8,0,0,0,1
D. KERKYRAIVN_1,240,0,0,0,0,125000,521.0,0.18902,6842.5,0,0,0,0,19.84954,39.637409999999996,39.6,19.8,0,0,0,1
D. KERKYRAIVN_1,195,0,0,0,0,270000,1385.0,0.18902,6842.5,0,0,0,0,19.84954,39.637409999999996,39.6,19.8,0,0,0,1
D. KERKYRAIVN_1,600,0,0,0,0,750000,1250.0,0.18902,6842.5,0,0,0,0,19.84954,39.637409999999996,39.6,19.8,0,0,0,1
D. KERKYRAIVN_1,200,0,0,0,0,120000,600.0,0.18902,6842.5,4,0,0,0,19.84954,39.637409999999996,39.6,19.8,0,0,0,1
D. KERKYRAIVN_1,250,0,0,0,0,300000,1200.0,0.18902,6842.5,0,0,0,0,19.84954,39.637409999999996,39.6,19.8,0,0,0,1
K. KARIANHS,430,0,0,0,0,120000,279.0,0.06001,5140.0,-1,0,0,1,24.00155,40.75388,40.8,24.0,0,0,0,1
K. KARIANHS,367,0,0,0,0,200000,545.0,0.06001,5140.0,0,0,0,1,24.00155,40.75388,40.8,24.0,0,0,0,1
K. AGIOY BASILEIOY_3,200,0,0,0,0,99000,495.0,0.42348,13270.0,-1,1,1,0,21.816879999999998,38.31382,38.3,21.8,0,0,0,1
D. LOYTRAKIOY PERAXVRAS_5,702,0,0,0,0,420000,598.0,0.0934,11240.0,0,0,0,0,22.96796,38.00895,38.0,23.0,0,0,0,1
D. BOLOY,388,0,0,0,0,240000,619.0,0.07472000000000001,3201.0,0,0,0,0,22.93502,39.34548,39.4,22.9,0,0,0,1
D. BOLOY,293,0,0,0,0,160000,546.0,0.07472000000000001,3201.0,0,0,0,0,22.93502,39.34548,39.4,22.9,0,0,0,1
D. ANDROY,300,0,0,0,0,200000,667.0,0.34758,3327.0,0,0,0,1,24.93159,37.82606,37.8,24.9,0,0,0,1
D. IUAKHS_20,565,0,0,0,0,60000,106.0,0.09383999999999999,3084.0,0,0,0,0,20.712629999999997,38.364509999999996,38.4,20.7,0,0,0,1
D. HRAKLEIOY_2,140,0,0,0,0,182000,1300.0,0.21370999999999998,8545.0,-1,0,0,0,25.123260000000002,35.3014,35.3,25.1,0,0,0,1
D. HRAKLEIOY_2,230,0,0,0,0,120000,522.0,0.21370999999999998,8545.0,-1,0,0,0,25.123260000000002,35.3014,35.3,25.1,0,0,0,1
D. KORINUOY,266,0,0,0,0,110000,414.0,0.05776,26537.5,-1,0,0,0,22.93719,37.928740000000005,37.9,22.9,0,0,0,1
