NAME_LATIN,Year,age
D. AGIAS BARBARAS,2019.0,42.0
D. AGIAS PARASKEYHS,2019.0,45.0
D. AGIASOY,2019.0,38.0
D. AGIOY DHMHTRIOY,2019.0,46.0
D. AGIOY IVANNOY RENTH,2019.0,40.0
D. AGIOY KHRYKOY,2018.0,54.0
D. AGIOY PAYLOY,2019.0,30.0
D. AGIVN ANARGYRVN,2019.0,34.0
D. AGRINIOY_1,2018.0,56.0
D. AIGALEV,2019.0,41.0
D. AIGINHS_13,2019.0,40.0
D. AIGINIOY_1,2019.0,60.0
D. AIGIOY,2019.0,41.0
D. AITVLIKOY_2,2018.0,60.0
D. AJIOYPOLEVS,2018.0,24.0
D. AKRATAS,2019.0,40.0
D. ALEJANDREIAS,2019.0,38.0
D. ALEJANDROYPOLEVS,2019.0,35.0
D. ALIARTOY,2019.0,118.0
D. ALIMOY,2019.0,42.0
D. ALMYROY,2019.0,41.0
D. AMALIADOS,2019.0,56.0
D. AMAROYSIOY,2019.0,44.0
D. AMFILOXIAS_2,2019.0,60.0
D. AMFISSHS,2019.0,33.0
D. AMPELOKHPVN,2019.0,41.0
D. AMPELVNOS,2019.0,61.0
D. ANDRABIDAS,2018.0,60.0
D. ANDROY,2019.0,39.0
D. ANDROYSHS,2019.0,30.0
D. ANTIRRIOY,2019.0,61.0
D. ANV LIOSIVN,2019.0,41.0
D. ARAXOBHS,2019.0,21.0
D. ARGOYS,2019.0,44.0
D. ARGOYS ORESTIKOY,2018.0,60.0
D. ARGYROYPOLEVS,2019.0,47.0
D. ARIDAIAS,2019.0,43.0
D. ARNAIAS,2019.0,47.0
D. ARTAIVN,2019.0,20.0
D. ARXANVN,2018.0,51.0
D. ASPROPYRGOY,2019.0,40.0
D. ASTYPALAIAS (NHSOS)_1,2019.0,61.0
D. ATALANTHS_1,2019.0,54.0
D. AUHNAIVN,2019.0,45.0
D. AXARNVN,2019.0,42.0
D. AYLVNOS,2019.0,41.0
D. BARHS_1,2019.0,52.0
D. BARUOLOMIOY,2018.0,60.0
D. BELBENTOY,2019.0,61.0
D. BELESTINOY,2019.0,53.0
D. BEROIAS,2019.0,33.0
D. BILIVN,2019.0,47.0
D. BOLOY,2019.0,40.0
D. BONITSHS_2,2018.0,60.0
D. BOYLAS_1,2019.0,56.0
D. BOYLIAGMENHS_1,2019.0,43.0
D. BRILHSSIVN,2019.0,30.0
D. BYRVNOS,2019.0,42.0
D. CAXNVN_1,2018.0,56.0
D. CYXIKOY,2019.0,58.0
D. DAFNHS_1,2019.0,47.0
D. DIDYMOTEIXOY,2019.0,49.0
D. DISTOMOY,2019.0,61.0
D. DRAMAS_2,2019.0,37.0
D. DRAPETSVNAS,2019.0,25.0
D. EDESSHS,2018.0,28.0
D. ELASSONOS_1,2018.0,59.0
D. ELATEIAS,2019.0,34.0
D. ELEYSINOS,2019.0,45.0
D. ELEYUERIOY-KORDELIOY (ELEYUERIOY),2019.0,29.0
D. ELEYUEROYPOLEVS,2019.0,44.0
D. ELLHNIKOY,2019.0,32.0
D. EPISKOPHS,2019.0,61.0
D. ERETRIAS_1,2019.0,50.0
D. ERMOYPOLEVS_1,2019.0,50.0
D. EYOSMOY,2019.0,32.0
D. FARKADONOS,2018.0,60.0
D. FARSALVN,2019.0,61.0
D. FERVN_1,2019.0,52.0
D. FILIATRVN,2019.0,30.0
D. FILIATVN,2019.0,0.0
D. FILOUEHS,2019.0,58.0
D. FLVRINHS,2019.0,32.0
D. FYLHS,2018.0,53.0
D. GALAJIDIOY_1,2019.0,27.0
D. GALATSIOY,2019.0,28.0
D. GARGALIANVN,2019.0,35.0
D. GASTOYNHS,2019.0,52.0
D. GERAKA,2019.0,41.0
D. GIANNITSVN,2019.0,31.0
